iPolicy;jPolicy;W;HRS;N;C;P;L;H;V;queriesCount;isFFU;missRatio
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;512;5;1;5000;500;TRUE;99.29
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;6;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;6;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;6;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;6;1;5000;500;TRUE;99.803
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;6;1;5000;500;TRUE;84.712
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;6;1;5000;500;TRUE;65.39
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;6;1;5000;500;TRUE;52.63
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;6;1;5000;500;TRUE;83.705
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;6;1;5000;500;TRUE;94.267
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;512;6;1;5000;500;TRUE;99.222
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;8;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;8;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;8;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;8;1;5000;500;TRUE;99.715
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;8;1;5000;500;TRUE;84.14
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;8;1;5000;500;TRUE;63.739
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;8;1;5000;500;TRUE;56.08
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;8;1;5000;500;TRUE;86.64
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;8;1;5000;500;TRUE;95.061
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;512;8;1;5000;500;TRUE;98.27
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;10;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;10;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;10;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;10;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;10;1;5000;500;TRUE;83.555
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;10;1;5000;500;TRUE;63.028
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;10;1;5000;500;TRUE;57.41
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;10;1;5000;500;TRUE;87.73
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;10;1;5000;500;TRUE;97.129
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;12;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;12;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;12;1;5000;500;TRUE;99.726
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;12;1;5000;500;TRUE;99.182
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;12;1;5000;500;TRUE;81.981
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;12;1;5000;500;TRUE;61.272
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;12;1;5000;500;TRUE;54.912
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;12;1;5000;500;TRUE;82.948
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;12;1;5000;500;TRUE;97.271
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;15;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;15;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;15;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;15;1;5000;500;TRUE;98.867
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;15;1;5000;500;TRUE;80.468
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;15;1;5000;500;TRUE;58.935
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;15;1;5000;500;TRUE;52.83
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;15;1;5000;500;TRUE;86.611
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;15;1;5000;500;TRUE;94.741
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;18;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;18;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;18;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;18;1;5000;500;TRUE;98.581
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;18;1;5000;500;TRUE;78.378
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;18;1;5000;500;TRUE;56.642
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;18;1;5000;500;TRUE;56.04
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;18;1;5000;500;TRUE;82.991
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;18;1;5000;500;TRUE;93.54
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;22;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;22;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;22;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;22;1;5000;500;TRUE;98.095
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;22;1;5000;500;TRUE;76.883
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;22;1;5000;500;TRUE;54.38
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;22;1;5000;500;TRUE;62.085
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;22;1;5000;500;TRUE;91.555
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;27;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;27;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;27;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;27;1;5000;500;TRUE;97.979
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;27;1;5000;500;TRUE;75.427
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;27;1;5000;500;TRUE;51.176
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;27;1;5000;500;TRUE;73.259
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;27;1;5000;500;TRUE;89.884
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;33;1;5000;500;TRUE;100
